dong,timestamp,pred_p10,pred_p50,pred_p90
신수동,2032-09-01,1628.4892578125,1632.235595703125,1638.773193359375
신수동,2032-10-01,1648.305908203125,1651.96337890625,1658.94873046875
신수동,2032-11-01,1703.8895263671875,1707.553466796875,1716.3118896484375
신수동,2032-12-01,1507.720703125,1513.7576904296875,1521.895751953125
신수동,2033-01-01,1637.604736328125,1642.607177734375,1653.4219970703125
신수동,2033-02-01,1845.37353515625,1847.593017578125,1861.9176025390625
신수동,2033-03-01,1772.68017578125,1776.453369140625,1788.131103515625
신수동,2033-04-01,1456.4283447265625,1463.1986083984375,1470.548583984375
신수동,2033-05-01,1581.840087890625,1586.970703125,1594.9384765625
신수동,2033-06-01,1664.142333984375,1668.29833984375,1677.866455078125
신수동,2033-07-01,1628.535888671875,1632.3486328125,1639.0068359375
신수동,2033-08-01,1455.162353515625,1460.851318359375,1466.8203125
신수동,2033-09-01,1628.286376953125,1632.0313720703125,1638.556884765625
신수동,2033-10-01,1648.0394287109375,1651.6953125,1658.669189453125
신수동,2033-11-01,1703.807861328125,1707.46826171875,1716.217041015625
신수동,2033-12-01,1507.822021484375,1513.854248046875,1521.979248046875
신수동,2034-01-01,1638.35693359375,1643.3499755859375,1654.127685546875
신수동,2034-02-01,1844.8681640625,1847.101318359375,1861.34033203125
신수동,2034-03-01,1771.5010986328125,1775.271484375,1786.896240234375
신수동,2034-04-01,1456.503173828125,1463.265625,1470.6007080078125
신수동,2034-05-01,1581.6396484375,1586.767578125,1594.730224609375
신수동,2034-06-01,1663.711669921875,1667.861083984375,1677.4471435546875
신수동,2034-07-01,1628.45849609375,1632.269287109375,1638.9222412109375
신수동,2034-08-01,1455.19189453125,1460.8802490234375,1466.8414306640625
신수동,2034-09-01,1628.108154296875,1631.85205078125,1638.3670654296875
신수동,2034-10-01,1647.80322265625,1651.45849609375,1658.41943359375
신수동,2034-11-01,1703.7373046875,1707.395263671875,1716.135986328125
신수동,2034-12-01,1507.91357421875,1513.94189453125,1522.0550537109375
신수동,2035-01-01,1638.993408203125,1643.978271484375,1654.723388671875
신수동,2035-02-01,1844.3795166015625,1846.624755859375,1860.789794921875
