cluster,timestamp,var_p10,var_p50,var_p90
하락,2032-06-01,1253.7291045207407,1253.7291045207407,1253.7291045207407
하락,2032-07-01,1267.6802941377503,1267.6802941377503,1267.6802941377503
하락,2032-08-01,1278.0769014201728,1278.0769014201728,1278.0769014201728
하락,2032-09-01,1288.2439640694329,1288.2439640694329,1288.2439640694329
하락,2032-10-01,1299.9218935848671,1299.9218935848671,1299.9218935848671
하락,2032-11-01,1212.0030933698763,1212.0030933698763,1212.0030933698763
하락,2032-12-01,1184.293015179052,1184.293015179052,1184.293015179052
하락,2033-01-01,1269.1935160217085,1269.1935160217085,1269.1935160217085
하락,2033-02-01,1225.6706783088655,1225.6706783088655,1225.6706783088655
하락,2033-03-01,1210.7347008962076,1210.7347008962076,1210.7347008962076
하락,2033-04-01,1210.0077380362873,1210.0077380362873,1210.0077380362873
하락,2033-05-01,1169.0649472780724,1169.0649472780724,1169.0649472780724
하락,2033-06-01,1108.4528917964576,1108.4528917964576,1108.4528917964576
하락,2033-07-01,1132.685498908888,1132.685498908888,1132.685498908888
하락,2033-08-01,1149.6976085141011,1149.6976085141011,1149.6976085141011
하락,2033-09-01,1149.0279064295614,1149.0279064295614,1149.0279064295614
하락,2033-10-01,1111.9568578779322,1111.9568578779322,1111.9568578779322
하락,2033-11-01,1129.5223855594354,1129.5223855594354,1129.5223855594354
하락,2033-12-01,1192.4133304246013,1192.4133304246013,1192.4133304246013
하락,2034-01-01,1213.4296451855203,1213.4296451855203,1213.4296451855203
하락,2034-02-01,1182.935281345333,1182.935281345333,1182.935281345333
하락,2034-03-01,1184.0166608007532,1184.0166608007532,1184.0166608007532
하락,2034-04-01,1152.4334872048703,1152.4334872048703,1152.4334872048703
하락,2034-05-01,1148.7409259626716,1148.7409259626716,1148.7409259626716
하락,2034-06-01,1149.819128130115,1149.819128130115,1149.819128130115
하락,2034-07-01,1160.1848077199052,1160.1848077199052,1160.1848077199052
하락,2034-08-01,1193.9290769751742,1193.9290769751742,1193.9290769751742
하락,2034-09-01,1244.5374392553838,1244.5374392553838,1244.5374392553838
하락,2034-10-01,1232.9550573534596,1232.9550573534596,1232.9550573534596
하락,2034-11-01,1221.298424522162,1221.298424522162,1221.298424522162
하락,2034-12-01,1220.4207101554225,1220.4207101554225,1220.4207101554225
하락,2035-01-01,1309.6175612127174,1309.6175612127174,1309.6175612127174
하락,2035-02-01,1257.6683258684818,1257.6683258684818,1257.6683258684818
하락,2035-03-01,1236.815282113145,1236.815282113145,1236.815282113145
