dong,adf_stat,p_value,used_lag,n_obs,is_stationary
장안동,-2.43113255692991,0.36320309577544874,10,181,False
장위동,-2.43113255692991,0.36320309577544874,10,181,False
장지동,-2.43113255692991,0.36320309577544874,10,181,False
전농동,-2.43113255692991,0.36320309577544874,10,181,False
정동,-2.43113255692991,0.36320309577544874,10,181,False
정릉동,-2.43113255692991,0.36320309577544874,10,181,False
제기동,-2.43113255692991,0.36320309577544874,10,181,False
종암동,-2.43113255692991,0.36320309577544874,10,181,False
중계동,-2.43113255692991,0.36320309577544874,10,181,False
중곡동,-2.43113255692991,0.36320309577544874,10,181,False
중동,-2.43113255692991,0.36320309577544874,10,181,False
중림동,-2.43113255692991,0.36320309577544874,10,181,False
중화동,-2.43113255692991,0.36320309577544874,10,181,False
증산동,-2.43113255692991,0.36320309577544874,10,181,False
진관동,-2.43113255692991,0.36320309577544874,10,181,False
창동,-2.43113255692991,0.36320309577544874,10,181,False
창신동,-2.43113255692991,0.36320309577544874,10,181,False
창전동,-2.43113255692991,0.36320309577544874,10,181,False
창천동,-2.2291706940511555,0.4734523670472703,16,367,False
천연동,-2.43113255692991,0.36320309577544874,10,181,False
천왕동,-2.43113255692991,0.36320309577544874,10,181,False
천호동,-2.43113255692991,0.36320309577544874,10,181,False
청담동,-2.43113255692991,0.36320309577544874,10,181,False
청량리동,-2.43113255692991,0.36320309577544874,10,181,False
청암동,-2.43113255692991,0.36320309577544874,10,181,False
청운동,-2.43113255692991,0.36320309577544874,10,181,False
충신동,-2.43113255692991,0.36320309577544874,10,181,False
토정동,-2.43113255692991,0.36320309577544874,10,181,False
평동,-2.43113255692991,0.36320309577544874,10,181,False
평창동,-2.43113255692991,0.36320309577544874,10,181,False
풍납동,-2.43113255692991,0.36320309577544874,10,181,False
필운동,-2.43113255692991,0.36320309577544874,10,181,False
하계동,-2.43113255692991,0.36320309577544874,10,181,False
하왕십리동,-2.43113255692991,0.36320309577544874,10,181,False
하월곡동,-2.43113255692991,0.36320309577544874,10,181,False
하중동,-2.43113255692991,0.36320309577544874,10,181,False
한남동,-2.43113255692991,0.36320309577544874,10,181,False
합동,-2.43113255692991,0.36320309577544874,10,181,False
합정동,-2.43113255692991,0.36320309577544874,10,181,False
항동,-2.43113255692991,0.36320309577544874,10,181,False
행당동,-2.43113255692991,0.36320309577544874,10,181,False
행촌동,-2.43113255692991,0.36320309577544874,10,181,False
현석동,-2.43113255692991,0.36320309577544874,10,181,False
현저동,-2.43113255692991,0.36320309577544874,10,181,False
