step,timestamp,N_scenarios,p5,p10,p25,p50,p75,p90,p95
53,2030-05-01,730,1585.2272839387747,1692.2089728854567,1848.4819947132048,2034.4561518109301,2263.2414880532415,2445.0726089050345,2563.5811057395645
54,2030-06-01,730,1598.989158743144,1706.3620711942199,1857.2203602444822,2047.5814369709856,2277.1250216231683,2445.8442577441865,2585.402660732804
55,2030-07-01,730,1590.3951905105043,1713.3455361437702,1874.646605597689,2067.5496093524985,2291.727544936585,2476.309975329679,2593.67289422072
56,2030-08-01,730,1603.2191057450834,1707.167444707375,1880.694643950099,2103.688122346364,2310.8016545531086,2493.386313482528,2618.041172912599
57,2030-09-01,730,1603.1192729224906,1712.5369171002885,1890.583822470468,2096.407199955922,2328.9154440961547,2489.8474246430533,2638.6322501159525
58,2030-10-01,730,1619.8267558802627,1728.616435642687,1901.125194745802,2115.3830068681577,2346.8422375065725,2532.3993791689377,2661.5574624366477
59,2030-11-01,730,1634.2070244183876,1735.3147649681937,1924.1116059770334,2130.799613569936,2361.5315684306415,2559.3511084410557,2669.585703954141
60,2030-12-01,730,1630.2277090185175,1744.411465208524,1943.8595277445231,2150.1504018140295,2374.1677777982286,2580.1321867034444,2678.5525155723158
61,2031-01-01,730,1637.7928161793748,1753.7195357553815,1947.2622080073238,2169.697186086303,2391.530949037474,2594.618027604938,2732.7269592226075
62,2031-02-01,730,1636.4026042155838,1768.8234703139512,1964.825712836085,2176.117967433409,2408.3103422394424,2612.031879957951,2750.9221673100765
63,2031-03-01,730,1659.2050460665023,1775.723120184824,1963.6964841304978,2190.7131670111066,2419.787171621219,2624.6808689579834,2764.2724114105617
64,2031-04-01,730,1671.8897887698568,1806.2151188625464,1974.0999666251162,2214.540763864878,2444.7606762242604,2624.5785628374288,2811.689391013643
65,2031-05-01,730,1676.5953811812283,1813.106438008786,1994.0020132395332,2232.0613881580657,2461.410734457636,2657.9861498232017,2808.6780163814938
66,2031-06-01,730,1676.8948233192955,1805.7920476561637,2004.1478991714819,2250.012449788578,2478.205103637226,2682.0382459446146,2792.002356818323
67,2031-07-01,730,1692.0363928463546,1821.669937836618,2014.1409875874037,2265.079695883236,2487.6674519761996,2718.412705080449,2810.8719827539203
68,2031-08-01,730,1706.1989133307227,1839.0549959165005,2025.064106108551,2276.3661558874733,2507.6549476489517,2736.5740532402206,2839.5530891026765
69,2031-09-01,730,1717.6534957960432,1850.4386232441714,2035.2483142323645,2289.90136741685,2523.6678082948993,2739.0632627728087,2851.8616676790107
70,2031-10-01,730,1728.895786387962,1854.7518022681318,2049.333310606685,2304.9681267320757,2535.2400344535063,2765.656254538275,2882.3461764550393
71,2031-11-01,730,1729.5627516631162,1872.82617051123,2057.5987807649162,2315.754622101439,2555.973979602449,2783.361708870724,2907.5410331917387
72,2031-12-01,730,1747.8560154672684,1882.137263040917,2071.7222619693857,2323.748425858603,2568.456934571864,2797.3810736837668,2919.99157509002
73,2032-01-01,730,1758.1631548328226,1891.7100885226812,2099.7767466275172,2355.20745905588,2596.131392884824,2812.0348751847823,2944.6715042600467
74,2032-02-01,730,1756.128485886167,1915.5416886321793,2107.5374136797222,2367.568317518603,2607.061461166075,2825.299990907005,2960.323115989153
75,2032-03-01,730,1786.7967524004891,1913.541241932218,2135.492345281459,2384.075809312573,2627.09192586069,2850.962465104112,2959.82120027745
76,2032-04-01,730,1775.8612465890901,1939.3643886696066,2154.380148905704,2396.972882513812,2641.01627971383,2859.502033028842,2988.8401868300652
77,2032-05-01,730,1802.278978651408,1941.0557997021376,2175.259494498549,2413.167409517202,2652.558870066793,2890.5234164853696,3000.49176675168
78,2032-06-01,730,1813.7474697399057,1955.916440998389,2188.2716655045483,2428.9219401262926,2686.2872851630264,2899.145660828902,3035.9622916829276
79,2032-07-01,730,1816.573541284391,1961.272172534293,2199.0232600075283,2437.5148604089486,2699.971672450485,2916.834140037261,3042.475579829342
80,2032-08-01,730,1820.7780507040982,1975.0889056908907,2212.3468084057213,2448.4881510275554,2730.3896247179605,2935.2144224555423,3049.300806121888
81,2032-09-01,730,1827.7809929927284,1977.9302662809373,2217.2675698078283,2470.3965696240466,2748.1262884481644,2956.2978466080453,3067.6818750131597
82,2032-10-01,730,1845.3929747357718,2003.8178488185256,2234.8910110214238,2494.334522193523,2759.9238835803462,2973.778922462595,3090.322972297994
83,2032-11-01,730,1853.769782714207,2004.134944828612,2254.420009099074,2505.4879145942064,2775.7538663174205,2983.5088083215087,3114.1235242718117
84,2032-12-01,730,1867.489516715157,2014.9254482925244,2267.9705799028766,2526.00350668635,2784.005541734293,3023.0489219994943,3134.1709732443187
85,2033-01-01,730,1883.0329895364832,2023.068510061671,2272.052978069718,2537.105590111226,2802.6155179389616,3034.8098199190126,3151.8460209954214
86,2033-02-01,730,1861.5391510676425,2028.7901640221141,2299.527182792357,2550.9198401879685,2829.229792589826,3043.269281282148,3154.577883314835
87,2033-03-01,730,1853.337534375087,2051.010416112622,2296.191001551882,2561.1902214367374,2840.2369800438446,3058.4173348392064,3175.702907533712
88,2033-04-01,730,1877.5180407715661,2054.3567869017397,2317.0388043979083,2584.7255393421988,2865.158899896047,3085.3845499459358,3176.995059870573
89,2033-05-01,730,1899.5710352710782,2082.6559647398226,2327.4199781647235,2598.1509464735154,2885.018057755934,3099.972241116773,3223.5901023761526
90,2033-06-01,730,1928.2578213068975,2073.4569664876744,2342.1664226818257,2611.221493618041,2893.918687810845,3119.7740706666373,3251.908120438546
91,2033-07-01,730,1942.6201410171057,2080.886655798809,2358.900352290832,2634.6603278105968,2923.018269961154,3135.4983039233375,3284.462224240257
92,2033-08-01,730,1951.5684713912626,2106.917424080358,2373.522116433665,2650.7710796245556,2932.8140455541425,3162.0020903889194,3287.1553485007425
93,2033-09-01,730,1981.4551179506063,2112.23345669551,2390.6786628688064,2670.0666822505627,2948.1798202841273,3166.4629140093,3294.139250357654
94,2033-10-01,730,1982.322558901877,2129.5349679140913,2410.599896092144,2671.1099954149895,2958.8355943395827,3201.773906957851,3319.4713232455374
95,2033-11-01,730,1987.548016206218,2123.33640903704,2420.7152753903197,2679.7449788535123,2981.636176515891,3222.61148606545,3344.8782397695004
96,2033-12-01,730,1996.5540117669518,2125.3288794057758,2434.0102041908935,2703.65055527293,3002.4578172995375,3244.620944363281,3383.559985704891
97,2034-01-01,730,2003.3509308498685,2131.104467898923,2441.565434010423,2725.491591362182,3006.1334750602355,3261.7751094812616,3398.457208824669
98,2034-02-01,730,2022.1642724877715,2148.9956879674646,2458.903692259463,2731.0911316140414,3026.16492373873,3276.394670842705,3418.2109211155835
99,2034-03-01,730,2032.4909666515985,2167.8681952679476,2465.9368302283947,2747.6679983224076,3034.3212186245296,3298.010981443948,3423.1005578247327
100,2034-04-01,730,2027.7577592836494,2187.700211694565,2491.219441322939,2760.851336032359,3044.954615359351,3336.894095741157,3426.449020343926
101,2034-05-01,730,2036.1491887891407,2195.6462860429056,2498.845650786171,2780.1415922866663,3067.8267902444086,3343.4338951060377,3452.8610117506073
102,2034-06-01,730,2031.8969951851416,2195.2114915858765,2510.803245993421,2789.1002487513615,3078.7014893379755,3358.1036208149053,3469.3972135913737
103,2034-07-01,730,2036.34080664188,2213.2214836823778,2504.0785763344766,2811.2336991649204,3106.703535829475,3361.144420397384,3494.126626955371
104,2034-08-01,730,2063.7810386770966,2214.9811846428775,2519.869618360304,2830.1633196411276,3109.5680943626,3367.657041723979,3499.9018442121883
105,2034-09-01,730,2087.6679032304846,2231.1969212871936,2529.427094940811,2838.680445480377,3125.887279037597,3399.597827690748,3520.273262085949
106,2034-10-01,730,2091.099932206508,2251.743830685992,2558.964566304732,2849.6491667410855,3142.909484594769,3410.2586592969337,3534.485170915326
107,2034-11-01,730,2131.3518699696165,2277.400882009663,2575.6800088510454,2862.9446478121026,3166.8486839358397,3427.9157663766523,3544.5327458445954
108,2034-12-01,730,2119.4455883155147,2277.0690261470754,2589.2154605036458,2875.6348720366627,3188.622149014395,3438.8911915828985,3572.1761368806588
109,2035-01-01,730,2146.577004082245,2283.8039853213013,2592.9193960447965,2891.779577858089,3198.246781954391,3455.360402902351,3599.920958443882
110,2035-02-01,730,2144.866250729719,2301.2375929172244,2617.646877286906,2899.8806325423693,3213.8877623201074,3468.340461431421,3597.5879936544766
111,2035-03-01,730,2148.991852717376,2323.3860008256593,2624.910630168739,2917.2205051579053,3230.8239947845677,3484.8690788150116,3621.4779162447994
112,2035-04-01,730,2172.84581192263,2312.7033017984904,2632.3480665322354,2923.38235408881,3244.6839545991825,3490.321610922427,3649.4682589498407
113,2035-05-01,730,2159.391381249248,2349.2677481569563,2650.5674809083644,2952.21573775833,3256.262907217554,3522.9027904771683,3654.555815571814
114,2035-06-01,730,2192.5967033927213,2361.794923450825,2662.022835006857,2964.6582919603507,3273.284693350668,3522.157321075509,3672.7163609201466
115,2035-07-01,730,2217.157703241293,2367.286831889837,2678.2622135868305,2986.958295978081,3290.618798514447,3533.511474020343,3687.4518727470313
116,2035-08-01,730,2228.8116905552483,2375.926740704334,2686.1893887098977,2995.050068647677,3304.596113907376,3553.991379465287,3708.955287152279
117,2035-09-01,730,2232.5144060149028,2399.952661538143,2699.0504508700014,3019.680098876107,3325.221582054572,3570.2925334617753,3710.4895682339566
118,2035-10-01,730,2221.4140222916235,2391.8745742630726,2717.014805768943,3028.8728705228477,3346.1825894357744,3585.7663228346537,3715.9644322860577
119,2035-11-01,730,2240.0528761709134,2412.463948353763,2724.5705584469306,3050.1773897173925,3359.335173363741,3630.6953801794834,3725.230342941892
120,2035-12-01,730,2248.605654178411,2404.448070913044,2740.2999338592817,3060.863813957398,3372.4916357802467,3638.9427842641358,3749.056844345862
121,2036-01-01,730,2259.6937511801643,2400.4038534744986,2743.8219913024323,3076.646712102677,3388.1853106439335,3634.9443828137446,3772.537796532914
122,2036-02-01,730,2237.8351949803573,2416.3294469061993,2750.844896979124,3094.5557739082096,3411.215929339125,3649.363977677898,3818.6692573460127
123,2036-03-01,730,2268.8761524523943,2438.9135834055883,2770.954261940832,3101.0821971284854,3428.437084621819,3667.5426039998715,3816.1232631349217
124,2036-04-01,730,2273.8832097917725,2449.0324637045096,2779.9303343031743,3119.3691986501053,3438.7517083482962,3694.8420057015346,3870.500552826112
125,2036-05-01,730,2268.7454738978263,2471.496052990235,2799.01876527186,3136.471248777223,3455.3870959795454,3696.556060894786,3888.8569314816095
126,2036-06-01,730,2294.6518079111443,2474.034711165052,2808.800350907008,3148.4415541837125,3469.9142495154365,3701.8130658394575,3900.5167292033652
127,2036-07-01,730,2300.7940661779508,2502.3218986902484,2821.0406857143803,3159.320531030635,3489.3707012328423,3725.221019924806,3927.8523814621444
128,2036-08-01,730,2303.3005618266475,2511.547469881054,2823.594966484836,3173.8510056472833,3504.5791627936987,3743.907642814033,3937.983889486821
129,2036-09-01,730,2325.051917409658,2531.791760821504,2835.1540567085294,3189.925261507712,3525.619797733576,3747.857424131268,3957.722603853619
130,2036-10-01,730,2325.4276713415893,2544.639066651633,2855.6176431291788,3197.086621980312,3554.811700881821,3791.1704789447704,3993.2030439625605
131,2036-11-01,730,2328.078780301326,2555.6448703296314,2846.1954305760596,3208.0101827745966,3552.311062555425,3817.834362152416,4024.2867288375464
132,2036-12-01,730,2338.6418998525533,2571.2642768304036,2859.1633767178014,3225.435742408598,3561.3954444952783,3828.7119741161227,4000.5837188689165
133,2037-01-01,730,2366.534013203353,2583.878979300654,2886.3289611166842,3238.1956082680445,3574.2363694198616,3844.791464739191,4023.6404379607575
134,2037-02-01,730,2366.7985696626934,2590.495562677547,2899.8779675422097,3253.400670919108,3587.63341599448,3851.060093153848,4045.5122055113156
135,2037-03-01,730,2393.8790531621976,2601.6639578730415,2911.369793283876,3268.8997554011667,3615.8695257221216,3857.0255328136313,4076.8428110316513
136,2037-04-01,730,2378.831534517979,2611.780818095994,2938.76633092008,3278.7496398802973,3637.3493219161815,3896.159244658598,4076.8433094255392
137,2037-05-01,730,2379.326579975249,2612.871368165631,2948.5354676263532,3292.544478056885,3646.427517458673,3929.555121700212,4127.78412293081
138,2037-06-01,730,2412.3204642555297,2648.0217897129182,2968.9425679425062,3304.051561929542,3669.1342753080244,3951.372153244343,4132.063570197568
139,2037-07-01,730,2462.9741060024853,2656.8692916197915,2979.186258844549,3301.1898537843886,3692.21524364424,3951.7060661789674,4156.864185949313
140,2037-08-01,730,2480.2784056196497,2656.801108246652,2982.4337614349643,3315.1157034335765,3705.3558135720864,3968.985367284286,4161.22462347463
141,2037-09-01,730,2467.481276524217,2699.2888550356233,3003.5207915240107,3326.2183193360943,3713.034359394653,3997.0230905073745,4193.176376878038
142,2037-10-01,730,2466.344892829945,2685.9999112872347,3015.20701725236,3345.1320553656533,3723.848075427973,4036.760011121316,4204.983107100314
143,2037-11-01,730,2503.6696638217245,2693.021509474813,3025.2127146249068,3361.847817616268,3747.966973303202,4057.0081461306913,4201.7008170063955
