hybrid_alpha,residual_decay,hybrid_quantile_shrink,rmse,mae,mape,coverage80,band_width,band_width_pct
0.9,0.55,0.2,114.98664982728496,88.05407817236839,5.775409655251867,88.88888888888889,394.14016753947567,26.07515480999843
0.9,0.55,1.0,114.98664982728496,88.05407817236839,5.775409655251867,88.88888888888889,396.5300863983651,26.2332648159334
0.9,0.55,0.6,114.98664982728496,88.05407817236839,5.775409655251867,88.88888888888889,395.33525826124406,26.154218498880084
0.9,0.55,0.8,114.98664982728496,88.05407817236839,5.775409655251867,88.88888888888889,395.93162526732164,26.193672386830976
0.8,0.55,0.4,115.15618657258368,88.21627968668969,5.78710700964222,88.88888888888889,394.70697788875594,26.112653316424854
0.8,0.55,0.6,115.15618657258368,88.21627968668969,5.78710700964222,88.88888888888889,395.23735809418935,26.147741711629973
0.8,0.55,0.8,115.15618657258368,88.21627968668969,5.78710700964222,88.88888888888889,395.7646969963988,26.182628903154466
0.8,0.55,1.0,115.15618657258368,88.21627968668969,5.78710700964222,88.88888888888889,396.29436151871266,26.217669950868324
0.8,0.55,0.2,115.15618657258368,88.21627968668969,5.78710700964222,88.88888888888889,394.1718967885807,26.07725392384309
0.9,0.8,0.2,115.26735651798656,89.1043741961135,5.853485857080183,88.88888888888889,393.33843983355047,26.022114861855183
0.9,0.8,0.4,115.26735651798656,89.1043741961135,5.853485857080183,88.88888888888889,394.97841975454986,26.130611112293966
0.9,0.8,1.0,115.26735651798656,89.1043741961135,5.853485857080183,88.88888888888889,399.9106430195546,26.45691250399263
0.9,0.8,0.8,115.26735651798656,89.1043741961135,5.853485857080183,88.88888888888889,398.2707337709355,26.34842092903077
0.9,0.8,0.6,115.26735651798656,89.1043741961135,5.853485857080183,88.88888888888889,396.61671024978205,26.238995595290493
0.8,0.8,0.4,115.26982104036284,89.23850650886486,5.861744423600891,88.88888888888889,394.57724947788336,26.104070866130908
0.8,0.8,0.6,115.26982104036284,89.23850650886486,5.861744423600891,88.88888888888889,396.03338724635336,26.200404660208715
0.8,0.8,0.8,115.26982104036284,89.23850650886486,5.861744423600891,88.88888888888889,397.5093365566137,26.298049127650348
0.8,0.8,1.0,115.26982104036284,89.23850650886486,5.861744423600891,88.88888888888889,398.9916416855138,26.396114077368658
0.8,0.8,0.2,115.26982104036284,89.23850650886486,5.861744423600891,88.88888888888889,393.1334213184243,26.008551439598058
0.7,0.55,0.2,115.33327279603154,88.39697631536764,5.800008654941034,88.88888888888889,394.1767941782191,26.077577920744453
0.7,0.55,0.4,115.33327279603154,88.39697631536764,5.800008654941034,88.88888888888889,394.65230956518803,26.10903662084893
0.7,0.55,0.6,115.33327279603154,88.39697631536764,5.800008654941034,88.88888888888889,395.12674731205027,26.140424027451935
0.7,0.55,0.8,115.33327279603154,88.39697631536764,5.800008654941034,88.88888888888889,395.5949077124724,26.17139614326831
0.7,0.55,1.0,115.33327279603154,88.39697631536764,5.800008654941034,88.88888888888889,396.0626616048738,26.20234136570907
0.7,0.8,0.2,115.37334818565577,89.34527607568128,5.868880210964532,88.88888888888889,393.33863233755017,26.02212759735389
0.7,0.8,0.4,115.37334818565577,89.34527607568128,5.868880210964532,88.88888888888889,394.6062101674367,26.105986820214504
0.7,0.8,0.6,115.37334818565577,89.34527607568128,5.868880210964532,88.88888888888889,395.8732440636291,26.189810058020946
0.7,0.8,1.0,115.37334818565577,89.34527607568128,5.868880210964532,88.88888888888889,398.43773191301744,26.359469035177757
0.7,0.8,0.8,115.37334818565577,89.34527607568128,5.868880210964532,88.88888888888889,397.14579726235326,26.273998436657507
1.0,0.8,0.4,115.3834910604925,89.034807862273,5.848873468733763,86.11111111111111,395.39690200494334,26.1582966677459
1.0,0.8,0.2,115.3834910604925,89.034807862273,5.848873468733763,86.11111111111111,393.5672772195808,26.037254070589743
1.0,0.8,0.6,115.3834910604925,89.034807862273,5.848873468733763,88.88888888888889,397.2263181645273,26.279325462833846
1.0,0.8,0.8,115.3834910604925,89.034807862273,5.848873468733763,88.88888888888889,399.04685636199747,26.39976691804735
1.0,0.8,1.0,115.3834910604925,89.034807862273,5.848873468733763,88.88888888888889,400.87390328486043,26.520638971398807
0.6,0.55,0.8,115.52037273632801,88.5841823213941,5.813282885031246,88.88888888888889,395.4405805758664,26.161186313593994
0.6,0.55,0.2,115.52037273632801,88.5841823213941,5.813282885031246,88.88888888888889,394.2054465186659,26.079473475357634
0.6,0.55,0.4,115.52037273632801,88.5841823213941,5.813282885031246,88.88888888888889,394.6171386510469,26.10670981656312
0.6,0.55,0.6,115.52037273632801,88.5841823213941,5.813282885031246,88.88888888888889,395.0267218571163,26.133806637403552
0.6,0.55,1.0,115.52037273632801,88.5841823213941,5.813282885031246,88.88888888888889,395.85872730336894,26.18884967183781
0.6,0.8,0.2,115.54680645942622,89.51777452321433,5.879882149956232,88.88888888888889,393.5471727630789,26.0359240188497
0.6,0.8,0.4,115.54680645942622,89.51777452321433,5.879882149956232,88.88888888888889,394.6258175673122,26.107283988149373
