lag,dependent,regressor,coef
1,reb__apt_sale_supply_demand,policy__comprehensive_real_estate_tax_regime,-0.1939279389890346
1,reb__apt_sale_supply_demand,policy__acquisition_tax_regime,-0.14386906533433216
1,reb__apt_sale_supply_demand,policy__speculative_overheated_district_regime,0.056067360337116984
1,reb__apt_sale_supply_demand,policy__speculative_zone_regime,0.0560673603371111
1,policy__dsr_regime,ecos__base_rate,-0.07207683648469808
1,policy__dsr_regime,ecos__cd_91d_rate,0.14881790142676254
1,policy__dsr_regime,ecos__cpi_housing,0.002111219609448151
1,policy__dsr_regime,ecos__mortgage_rate_new,-0.036101170700401065
1,policy__dsr_regime,ecos__unemployment_rate,0.003983509979078334
1,policy__dsr_regime,reb__apt_jeonse_avg_price,-0.00010288284602081346
1,policy__dsr_regime,reb__apt_jeonse_supply_demand,-0.0008982922874357607
1,policy__dsr_regime,reb__apt_monthly_rent_supply_demand,-8.621137140600865e-05
1,policy__dsr_regime,reb__apt_sale_avg_price,-5.3704618980417174e-05
1,policy__dsr_regime,reb__apt_sale_index,0.001229534755337257
1,policy__dsr_regime,reb__apt_sale_supply_demand,0.0014768920778743767
1,policy__dsr_regime,policy__dsr_regime,0.8472275273407419
1,policy__dsr_regime,policy__dti_regime,0.04774536333564516
1,policy__dsr_regime,policy__ltv_regime,-0.04434795095895083
1,policy__dsr_regime,policy__real_estate_policy_regime,-0.005441114868966979
1,policy__dsr_regime,policy__capital_gains_tax_regime,0.05030323936457907
1,policy__dsr_regime,policy__adjustment_target_area_regime,0.03001499008447944
1,policy__dsr_regime,policy__comprehensive_real_estate_tax_regime,-0.001035327637272661
1,policy__dsr_regime,policy__acquisition_tax_regime,-0.0028529172806793174
1,policy__dsr_regime,policy__speculative_overheated_district_regime,0.0008701684084316977
1,policy__dsr_regime,policy__speculative_zone_regime,0.0008701684084318518
1,policy__dti_regime,ecos__base_rate,-0.009160091736973875
1,policy__dti_regime,ecos__cd_91d_rate,-0.06063417102257826
1,policy__dti_regime,ecos__cpi_housing,0.032194743321608314
1,policy__dti_regime,ecos__mortgage_rate_new,0.04621936161895276
1,policy__dti_regime,ecos__unemployment_rate,-0.04474375464093546
1,policy__dti_regime,reb__apt_jeonse_avg_price,0.00026030299094497773
1,policy__dti_regime,reb__apt_jeonse_supply_demand,-0.00809513196242583
1,policy__dti_regime,reb__apt_monthly_rent_supply_demand,-0.0012154737558246254
1,policy__dti_regime,reb__apt_sale_avg_price,-0.00019310470110664988
1,policy__dti_regime,reb__apt_sale_index,0.010648368552908146
1,policy__dti_regime,reb__apt_sale_supply_demand,0.004709955942328332
1,policy__dti_regime,policy__dsr_regime,-0.03208874888204345
1,policy__dti_regime,policy__dti_regime,0.901889353048039
1,policy__dti_regime,policy__ltv_regime,-0.009714061598897072
1,policy__dti_regime,policy__real_estate_policy_regime,0.036280515263787845
1,policy__dti_regime,policy__capital_gains_tax_regime,-0.030873032703112754
1,policy__dti_regime,policy__adjustment_target_area_regime,0.03367205416029675
1,policy__dti_regime,policy__comprehensive_real_estate_tax_regime,0.008375168205175762
1,policy__dti_regime,policy__acquisition_tax_regime,0.028323167364148263
1,policy__dti_regime,policy__speculative_overheated_district_regime,0.020636108006542166
1,policy__dti_regime,policy__speculative_zone_regime,0.020636108006542045
1,policy__ltv_regime,ecos__base_rate,0.36750741019516986
1,policy__ltv_regime,ecos__cd_91d_rate,-0.08476526020938231
1,policy__ltv_regime,ecos__cpi_housing,-0.004426481851009157
1,policy__ltv_regime,ecos__mortgage_rate_new,0.16310001043055328
1,policy__ltv_regime,ecos__unemployment_rate,-0.10529825611110284
1,policy__ltv_regime,reb__apt_jeonse_avg_price,-0.0007967512839317945
1,policy__ltv_regime,reb__apt_jeonse_supply_demand,-0.01716364998026484
1,policy__ltv_regime,reb__apt_monthly_rent_supply_demand,-0.0020243352706395437
1,policy__ltv_regime,reb__apt_sale_avg_price,-0.0004988138442141493
1,policy__ltv_regime,reb__apt_sale_index,0.05770354883971207
1,policy__ltv_regime,reb__apt_sale_supply_demand,0.0020291947664378505
1,policy__ltv_regime,policy__dsr_regime,-0.33677597261461717
1,policy__ltv_regime,policy__dti_regime,0.32790836394708656
1,policy__ltv_regime,policy__ltv_regime,0.4869341787082707
1,policy__ltv_regime,policy__real_estate_policy_regime,0.22125239109928022
1,policy__ltv_regime,policy__capital_gains_tax_regime,0.06528934194950964
1,policy__ltv_regime,policy__adjustment_target_area_regime,-0.3709950698616745
1,policy__ltv_regime,policy__comprehensive_real_estate_tax_regime,0.13149239497039572
1,policy__ltv_regime,policy__acquisition_tax_regime,0.06144850137307628
1,policy__ltv_regime,policy__speculative_overheated_district_regime,-0.012181570537662563
1,policy__ltv_regime,policy__speculative_zone_regime,-0.012181570537662957
1,policy__real_estate_policy_regime,ecos__base_rate,-0.004606884097107769
1,policy__real_estate_policy_regime,ecos__cd_91d_rate,0.01532995681751271
1,policy__real_estate_policy_regime,ecos__cpi_housing,0.05131482719803048
1,policy__real_estate_policy_regime,ecos__mortgage_rate_new,0.05543119827162705
1,policy__real_estate_policy_regime,ecos__unemployment_rate,-0.06797628204210224
1,policy__real_estate_policy_regime,reb__apt_jeonse_avg_price,0.00012592519980263213
1,policy__real_estate_policy_regime,reb__apt_jeonse_supply_demand,-0.00037983049593891147
1,policy__real_estate_policy_regime,reb__apt_monthly_rent_supply_demand,-0.0050894189121036704
1,policy__real_estate_policy_regime,reb__apt_sale_avg_price,-0.000264499168676232
1,policy__real_estate_policy_regime,reb__apt_sale_index,0.00830033645522396
1,policy__real_estate_policy_regime,reb__apt_sale_supply_demand,-0.0026990759355432522
1,policy__real_estate_policy_regime,policy__dsr_regime,-0.04356598767441649
1,policy__real_estate_policy_regime,policy__dti_regime,-0.01841815892855228
1,policy__real_estate_policy_regime,policy__ltv_regime,-0.002276069343049656
1,policy__real_estate_policy_regime,policy__real_estate_policy_regime,0.9101488931244957
1,policy__real_estate_policy_regime,policy__capital_gains_tax_regime,0.02367579223304506
1,policy__real_estate_policy_regime,policy__adjustment_target_area_regime,0.07988175614937723
1,policy__real_estate_policy_regime,policy__comprehensive_real_estate_tax_regime,0.008191174921194795
1,policy__real_estate_policy_regime,policy__acquisition_tax_regime,-0.03296824670544695
